City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
221,Dhidhdhoo,MV,82.06,moderate rain,6.8833,73.1,Dhidhoo beach
223,Touros,BR,76.39,few clouds,-5.1989,-35.4608,INN NEW HORIZON
228,Trincomalee,LK,80.53,overcast clouds,8.5711,81.2335,Welcombe Hotel
230,Sorong,ID,77.56,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
233,Roma,US,77.14,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
235,Cuicatlan,MX,81.46,overcast clouds,17.8,-96.9667,Vieja Biblioteca
236,Abonnema,NG,75.52,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
240,Acapulco,MX,84.47,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
247,Minjur,IN,84.99,broken clouds,13.2667,80.2667,Whitefield Integrated Residential Township
255,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
257,Manggar,ID,81.37,overcast clouds,-2.8833,108.2667,Guest Hotel
265,Maumere,ID,75.79,few clouds,-8.6199,122.2111,Sylvia Hotel
270,Kijang,KR,76.73,scattered clouds,35.2442,129.2139,Samyang Beach Villa
271,Katobu,ID,75.51,overcast clouds,-4.9408,122.5276,La Ode Husein
274,Lucerna,CH,75.06,few clouds,47.0505,8.3064,ibis budget Luzern City
277,Bilma,NE,90.75,clear sky,18.6853,12.9164,Expeditions Ténére voyages
278,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
281,Bandarbeyla,SO,78.22,overcast clouds,9.4942,50.8122,JABIR HOTEL
284,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
289,Pochutla,MX,84.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
290,Bela,IN,90.14,few clouds,25.9333,81.9833,Raj Bhawan
293,Yunhe,CN,80.92,broken clouds,34.0833,119.7167,Wanyuan Hotel
294,Tigzirt,DZ,75.96,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
